ROUTE_ID,ROUTE_SEQ,CHANGE
1000574,1,ADD
1000574,2,ADD
1000575,1,ADD
1000587,1,ADD
1058,1,UPDATE
1058,2,UPDATE
1124,1,UPDATE
1128,1,UPDATE
1256,1,UPDATE
1256,2,UPDATE
1258,1,UPDATE
1380,1,UPDATE
1380,2,UPDATE
1875,1,UPDATE
1875,2,UPDATE
1997,1,UPDATE
1998,1,UPDATE
8134,1,UPDATE
8167,1,UPDATE
8321,1,UPDATE
8322,1,UPDATE
8639,1,UPDATE
8639,2,UPDATE
1000197,1,UPDATE
1000198,2,UPDATE
1000199,2,UPDATE
1000200,1,UPDATE
1000200,2,UPDATE
1000273,2,UPDATE
1000306,1,UPDATE
1000360,1,UPDATE
1000402,1,UPDATE
1000402,2,UPDATE
1000442,1,UPDATE
1000487,1,UPDATE
1000536,2,UPDATE
1000540,1,UPDATE
1000567,1,UPDATE
1000567,2,UPDATE
1000572,1,UPDATE
1000573,1,UPDATE
1000573,2,UPDATE
1000574,1,UPDATE
1000574,2,UPDATE
1000575,1,UPDATE
1000587,1,UPDATE
