ROUTE_ID,CHANGE
1000574,ADD
1000575,ADD
1000587,ADD
1058,UPDATE
1124,UPDATE
1128,UPDATE
1256,UPDATE
1258,UPDATE
1380,UPDATE
1511,UPDATE
1875,UPDATE
1997,UPDATE
1998,UPDATE
8134,UPDATE
8167,UPDATE
8317,UPDATE
8321,UPDATE
8322,UPDATE
8534,UPDATE
8639,UPDATE
1000077,UPDATE
1000197,UPDATE
1000198,UPDATE
1000199,UPDATE
1000200,UPDATE
1000259,UPDATE
1000273,UPDATE
1000306,UPDATE
1000309,UPDATE
1000311,UPDATE
1000360,UPDATE
1000402,UPDATE
1000442,UPDATE
1000487,UPDATE
1000498,UPDATE
1000536,UPDATE
1000540,UPDATE
1000567,UPDATE
1000572,UPDATE
1000573,UPDATE
1000574,UPDATE
1000575,UPDATE
1000587,UPDATE
